Sentence,Tag
용산구 이태원동 주변에서 큰 소리가 들려와 주민들이 불안해하고 있어요 .,LOC LOC O O O O O O O O
중구 명동 상점인데 의문의 동작을 하는 사람이 보입니다 .,LOC LOC LOC O O O O O O
마포구 합정동 의원 앞에서 의심스러운 물건이 떨어져있어요 .,LOC LOC LOC O O O O O
강남구 역삼동 CU 편의점에서 시비가 벌어지고 있는 상황입니다 .,LOC LOC LOC LOC O O O O O
송파구 잠실동 주변을 지나가는데 의심스러운 사람들이 많이 모여 있어요 .,LOC LOC O O O O O O O O
성북구 동소문동 주택에서 이상한 소리가 들려와 주민들이 주목하고 있어요 .,LOC LOC O O O O O O O O
강북구 수유동 주변을 지나가는데 불길이 피어나서 주민들이 불안해하고 있어요 .,LOC LOC O O O O O O O O
강동구 천호동 CU 편의점에서 냄새가 좀 이상해요 .,LOC LOC LOC LOC O O O O
관악구 신림동 주변을 지나가는데 소란스러운 소리가 들려와 주민들이 놀라고 있어요 .,LOC LOC O O O O O O O O O
성동구 성수동 주택에서 의심스러운 물체가 보여 경비가 주시하고 있어요 .,LOC LOC O O O O O O O O
용산구 이태원동 주변을 지나가는데 시비가 벌어지고 있는 상황입니다 .,LOC LOC O O O O O O O
중구 명동 GS25 편의점에서 의문의 물건이 보입니다 .,LOC LOC LOC LOC O O O O
강서구 등촌동 주택에서 의문의 사람들이 모여 있어요 .,LOC LOC LOC O O O O O
중랑구 면목동 주변을 지나가는데 큰 소리가 들려와 주민들이 불안해하고 있어요 .,LOC LOC O O O O O O O O O
마포구 망원동 주택에서 의심스러운 사람들이 시비를 벌이고 있어요 .,LOC LOC O O O O O O O
강남구 신사동 주변을 지나가는데 의문의 동작을 하는 사람이 보입니다 .,LOC LOC O O O O O O O O
강동구 천호동 CU 편의점에서 주변에서 시비가 벌어지고 있는 것 같습니다 .,LOC LOC LOC LOC O O O O O O O
송파구 잠실동 주택에서 불이 나서 주민들이 대피하고 있습니다 .,LOC LOC LOC O O O O O O
성북구 동소문동 상점인데 이상한 소리가 들려와 주민들이 놀라고 있어요 .,LOC LOC LOC O O O O O O O
강남구 역삼동 노브랜드버거인데 의심스러운 물체가 보여 경비가 주시하고 있습니다 .,LOC LOC LOC O O O O O O O
종로구 경복궁동 주택에서 냄새가 좀 이상해요 .,LOC LOC LOC O O O O
중구 을지로 주변을 지나가는데 이상한 사람들이 모여 있어요 .,LOC AFW-B O O O O O O O
관악구 신림동 주택에서 시비가 벌어지고 있는 상황입니다 .,LOC LOC LOC O O O O O
성동구 성수동 주변을 지나가는데 의심스러운 물체가 보입니다 .,LOC LOC O O O O O O
용산구 이태원동 주변에서 의문의 동작을 하는 사람이 보입니다 .,LOC LOC O O O O O O O
중구 명동 상점인데 소란스러운 소리가 들려와 주민들이 불안해하고 있어요 .,LOC LOC LOC O O O O O O O
강동구 천호동 주변을 지나가는데 스타벅스인데 의문의 사람들이 많이 모여 있어요 .,LOC LOC O O LOC O O O O O O
관악구 신림동 주택에서 불길이 피어나서 대피가 필요한 상황입니다 .,LOC LOC LOC O O O O O O
성동구 성수동 주변을 지나가는데 의문의 냄새가 나옵니다 .,LOC LOC O O O O O O
용산구 이태원동 주택에서 이상한 사람들이 모여 있어요 .,LOC LOC LOC O O O O O
중구 명동 주변을 지나가는데 의심스러운 사람들이 시비를 벌이고 있어요 .,LOC LOC O O O O O O O O
슈퍼마켓에서 신선한 과일과 야채를 구입했어요 .,ORG-B O O O O O
전주식당에서 맛있는 비빔국수를 주문했어요 .,ORG-B O O O O
크린토피아에서 옷을 청소하고 수선해주었어요 .,ORG-B O O O O
파리바게뜨에서 달콤한 디저트를 샀어요 .,ORG-B O O O O
투다리에서 특제 쌀국수와 또띠아를 주문했어요 .,ORG-B O O O O O
태후사랑에서 따뜻한 보리차를 마셨어요 .,ORG-B O O O O
이디야에서 향긋한 커피를 시켰어요 .,ORG-B O O O O
남원추어탕에서 감칠맛 나는 추어탕을 맛보았어요 .,ORG-B O O O O O
준오헤어에서 멋진 헤어스타일로 변신했어요 .,ORG-B O O O O
본죽에서 건강한 죽과 사리곰탕을 주문했어요 .,ORG-B O O O O O
슈퍼마켓에서 신선한 수산물과 육류를 구입했어요 .,ORG-B O O O O O
피자스쿨에서 매콤한 불고기 피자를 주문했어요 .,ORG-B O O O O O
김가네에서 맛있는 해물 된장찌개를 먹었어요 .,ORG-B O O O O O
네네치킨에서 바삭한 양념치킨과 감자튀김을 시켰어요 .,ORG-B O O O O O
세븐일레븐에서 간편하게 간식과 음료수를 샀어요 .,ORG-B O O O O O
교촌치킨에서 담백한 양념치킨을 주문했어요 .,ORG-B O O O O
신의주찹쌀순대에서 쫄깃한 순대와 백반을 주문했어요 .,ORG-B O O O O O
처갓집양념치킨에서 매콤한 양념치킨과 맥주를 시켰어요 .,ORG-B O O O O O
신전떡볶이에서 매운 떡볶이와 부드러운 오뎅을 주문했어요 .,ORG-B O O O O O O
굽네치킨에서 고소한 간장치킨과 감자튀김을 시켰어요 .,ORG-B O O O O O
삼성공인중개사사무소에서 쾌적한 주택을 계약했어요 .,ORG-B O O O O
전주식당에서 특별한 전주 비빔밥을 먹었어요 .,ORG-B O O O O O
크린토피아에서 청결하게 옷을 세탁해주었어요 .,ORG-B O O O O
파리바게뜨에서 달콤한 케이크를 사왔어요 .,ORG-B O O O O
투다리에서 건강한 보리밥과 된장찌개를 주문했어요 .,ORG-B O O O O O
태후사랑에서 맛있는 간장게장과 갈치조림을 주문했어요 .,ORG-B O O O O O
이디야에서 부드러운 카페라떼를 시켰어요 .,ORG-B O O O O
남원추어탕에서 뜨끈한 추어탕을 맛보았어요 .,ORG-B O O O O
준오헤어에서 세련된 헤어스타일로 변신했어요 .,ORG-B O O O O
본죽에서 고소한 콩나물죽을 주문했어요 .,ORG-B O O O O
슈퍼마켓에서 신선한 야채와 과일을 구입했어요 .,ORG-B O O O O O
피자스쿨에서 맛있는 포테이토 피자를 주문했어요 .,ORG-B O O O O O
김가네에서 푸짐한 된장찌개와 김치찌개를 먹었어요 .,ORG-B O O O O O
네네치킨에서 바삭한 후라이드치킨과 감자튀김을 시켰어요 .,ORG-B O O O O O
세븐일레븐에서 편리하게 간식과 음료수를 사왔어요 .,ORG-B O O O O O
교촌치킨에서 담백한 후라이드치킨과 양배추샐러드를 주문했어요 .,ORG-B O O O O O
신의주찹쌀순대에서 고소한 순대와 백반을 주문했어요 .,ORG-B O O O O O
처갓집양념치킨에서 매콤한 양념치킨과 아이스크림을 시켰어요 .,ORG-B O O O O O
신전떡볶이에서 맛있는 떡볶이와 오뎅을 주문했어요 .,ORG-B O O O O O
굽네치킨에서 고소한 간장치킨과 감자튀김을 시켰어요 .,ORG-B O O O O O
삼성공인중개사사무소에서 쾌적한 아파트를 계약했어요 .,ORG-B O O O O
전주식당에서 특별한 전주 비빔밥을 먹었어요 .,ORG-B O O O O O
크린토피아에서 청결하게 옷을 세탁해주었어요 .,ORG-B O O O O
파리바게뜨에서 달콤한 크루아상을 사왔어요 .,ORG-B O O O O
투다리에서 건강한 보리밥과 된장찌개를 주문했어요 .,ORG-B O O O O O
태후사랑에서 맛있는 간장게장과 물회를 주문했어요 .,ORG-B O O O O O
이디야에서 부드러운 카페모카를 시켰어요 .,ORG-B O O O O
남원추어탕에서 뜨끈한 추어탕을 맛보았어요 .,ORG-B O O O O
준오헤어에서 세련된 헤어스타일로 변신했어요 .,ORG-B O O O O
본죽에서 건강한 콩나물죽을 주문했어요 .,ORG-B O O O O
슈퍼마켓에서 신선한 야채와 과일을 구입했어요 .,ORG-B O O O O O
피자스쿨에서 맛있는 불고기 피자를 주문했어요 .,ORG-B O O O O O
김가네에서 맛있는 갈비찜과 김치찌개를 먹었어요 .,ORG-B O O O O O
네네치킨에서 바삭한 양념치킨과 감자튀김을 시켰어요 .,ORG-B O O O O O
세븐일레븐에서 편리하게 간식과 음료수를 사왔어요 .,ORG-B O O O O O
교촌치킨에서 담백한 양념치킨과 양배추샐러드를 주문했어요 .,ORG-B O O O O O
신의주찹쌀순대에서 고소한 순대와 김치찌개를 주문했어요 .,ORG-B O O O O O
처갓집양념치킨에서 매콤한 양념치킨과 치즈스틱을 시켰어요 .,ORG-B O O O O O
신전떡볶이에서 맛있는 떡볶이와 오뎅을 주문했어요 .,ORG-B O O O O O
굽네치킨에서 고소한 간장치킨과 감자튀김을 시켰어요 .,ORG-B O O O O O
삼성공인중개사사무소에서 쾌적한 아파트를 계약했어요 .,ORG-B O O O O
전주식당에서 특별한 전주 비빔밥을 먹었어요 .,ORG-B O O O O O
크린토피아에서 청결하게 옷을 세탁해주었어요 .,ORG-B O O O O
파리바게뜨에서 달콤한 크림빵을 사왔어요 .,ORG-B O O O O
투다리에서 건강한 보리밥과 도토리묵무침을 주문했어요 .,ORG-B O O O O O
태후사랑에서 맛있는 간장게장과 고등어조림을 주문했어요 .,ORG-B O O O O O
이디야에서 부드러운 카페라떼를 시켰어요 .,ORG-B O O O O
남원추어탕에서 뜨끈한 추어탕을 맛보았어요 .,ORG-B O O O O
준오헤어에서 세련된 헤어스타일로 변신했어요 .,ORG-B O O O O
본죽에서 건강한 버섯죽을 주문했어요 .,ORG-B O O O O
슈퍼마켓에서 신선한 야채와 과일을 구입했어요 .,ORG-B O O O O O
피자스쿨에서 맛있는 포테이토 피자를 주문했어요 .,ORG-B O O O O O
김가네에서 맛있는 김치찌개와 삼겹살을 먹었어요 .,ORG-B O O O O O
네네치킨에서 바삭한 양념치킨과 치즈스틱을 시켰어요 .,ORG-B O O O O O
세븐일레븐에서 간편하게 간식과 음료수를 사왔어요 .,ORG-B O O O O O
교촌치킨에서 담백한 후라이드치킨과 양배추샐러드를 주문했어요 .,ORG-B O O O O O
신의주찹쌀순대에서 고소한 순대와 백반을 주문했어요 .,ORG-B O O O O O
처갓집양념치킨에서 매콤한 양념치킨과 감자튀김을 시켰어요 .,ORG-B O O O O O
신전떡볶이에서 맛있는 떡볶이와 오뎅을 주문했어요 .,ORG-B O O O O O
굽네치킨에서 고소한 간장치킨과 감자튀김을 시켰어요 .,ORG-B O O O O O
삼성공인중개사사무소에서 쾌적한 주택을 계약했어요 .,ORG-B O O O O
전주식당에서 특별한 전주 비빔밥을 먹었어요 .,ORG-B O O O O O
크린토피아에서 청결하게 옷을 세탁해주었어요 .,ORG-B O O O O
파리바게뜨에서 달콤한 크루아상을 사왔어요 .,ORG-B O O O O
투다리에서 건강한 보리밥과 된장찌개를 주문했어요 .,ORG-B O O O O O
태후사랑에서 맛있는 간장게장과 갈치조림을 주문했어요 .,ORG-B O O O O O
이디야에서 부드러운 카페모카를 시켰어요 .,ORG-B O O O O
남원추어탕에서 뜨끈한 추어탕을 맛보았어요 .,ORG-B O O O O
준오헤어에서 세련된 헤어스타일로 변신했어요 .,ORG-B O O O O
본죽에서 건강한 콩나물죽을 주문했어요 .,ORG-B O O O O
슈퍼마켓에서 신선한 야채와 과일을 구입했어요 .,ORG-B O O O O O
피자스쿨에서 맛있는 불고기 피자를 주문했어요 .,ORG-B O O O O O
김가네에서 맛있는 해물 된장찌개를 먹었어요 .,ORG-B O O O O O
네네치킨에서 바삭한 양념치킨과 감자튀김을 시켰어요 .,ORG-B O O O O O
세븐일레븐에서 편리하게 간식과 음료수를 사왔어요 .,ORG-B O O O O O
교촌치킨에서 담백한 양념치킨과 양배추샐러드를 주문했어요 .,ORG-B O O O O O
신의주찹쌀순대에서 고소한 순대와 백반을 주문했어요 .,ORG-B O O O O O
처갓집양념치킨에서 매콤한 양념치킨과 맥주를 시켰어요 .,ORG-B O O O O O
신전떡볶이에서 맛있는 떡볶이와 오뎅을 주문했어요 .,ORG-B O O O O O
굽네치킨에서 고소한 간장치킨과 감자튀김을 시켰어요 .,ORG-B O O O O O
나는 올리브영에서 화장품을 사러 가기 전에 먼저 투썸플레이스에서 카페라떼를 마셨어요 .,O ORG-B O O O O O ORG-B O O O
GS25에서 물과 간식을 살 때 이디야커피에서 아메리카노를 마시기로 계획했어요 .,ORG-B O O O O ORG-B O O O O
롯데리아에서 햄버거를 주문하기 전에 세븐일레븐에서 간식을 사러 갈까 고민 중이에요 .,ORG-B O O O ORG-B O O O O O O
메가커피에서 커피를 사러 갔다가 빽다방에서 라떼를 마시게 되었어요 .,ORG-B O O O ORG-B O O O O
맘스터치에서 치킨을 먹는 도중에 버거킹에서 간식을 시킬까 고민 중이에요 .,ORG-B O O O ORG-B O O O O O
지방시에서 패션 감상하다가 유니클로에서 옷을 사야할지 말아야할지 고민 중이에요 .,ORG-B O O ORG-B O O O O O O
나이키에서 운동화를 사러 가는 길에 뉴발란스에서도 운동화를 둘러볼까 생각 중이에요 .,ORG-B O O O O ORG-B O O O O O
던킨도너츠에서 도너츠를 시켰는데 미니스톱에서 아이스크림까지 장을 보게 되었어요 .,ORG-B O O ORG-B O O O O O
버거킹에서 간식을 먹다가 뚜레쥬르에서 디저트를 사러 갈까 말까 고민 중이에요 .,ORG-B O O ORG-B O O O O O O O
에이치앤엠에서 옷을 구매했는데 나이키에서 운동화도 함께 사야할까 고민 중이에요 .,ORG-B O O ORG-B O O O O O O
저는 GS25에서 물을 사러 갈 때 맘스터치에서 치킨을 시켰어요 .,O ORG-B O O O O ORG-B O O O
그녀는 롯데백화점에서 쇼핑을 하다가 이마트에서 식재료도 구입했어요 .,O ORG-B O O ORG-B O O O
저희는 메가커피에서 커피를 주문하고 뚜레쥬르에서 달콤한 디저트도 먹었어요 .,O ORG-B O O ORG-B O O O O
여자친구와 저는 씨유에서 생필품을 사러 갈 때 투썸플레이스에서 아메리카노를 마셨어요 .,O O ORG-B O O O O ORG-B O O O
저희는 홈플러스에서 다양한 식재료를 구입하고 지방시에서 패션 감상도 했어요 .,O ORG-B O O O ORG-B O O O O
친구들과 저는 버거킹에서 간식을 먹고 이디야에서 커피도 마셨어요 .,O O ORG-B O O ORG-B O O O
가족들과 함께 롯데리아에서 햄버거를 시키고 맘스터치에서 치킨도 주문했어요 .,O O ORG-B O O ORG-B O O O
친구들과 저는 지방시에서 패션을 쇼핑하고 유니클로에서 편안한 옷을 구입했어요 .,O O ORG-B O O ORG-B O O O O
저희는 뚜레쥬르에서 달콤한 디저트를 먹은 후 메가커피에서 커피도 시켰어요 .,O ORG-B O O O O ORG-B O O O
가족들과 저는 이마트에서 신선한 식재료를 사러 갔는데 홈플러스에서도 둘러보게 되었어요 .,O O ORG-B O O O O ORG-B O O O
저는 스타벅스에서 커피를 마시고 이디야에서 빵을 샀어요 .,O ORG-B O O ORG-B O O O
친구들과 저는 투썸플레이스에서 카페라떼를 시켰는데 빽다방에서 아메리카노도 주문했어요 .,O O ORG-B O O ORG-B O O O
가족들과 저는 GS25에서 즉석 라면과 음료를 구입하고 파리바게뜨에서 빵도 사왔어요 .,O O ORG-B O O O O ORG-B O O O
저는 버거킹에서 간식을 먹고 세븐일레븐에서 아이스크림도 샀어요 .,O ORG-B O O ORG-B O O O
친구들과 저는 지방시에서 패션 감상하다가 유니클로에서 편안한 옷을 구입했어요 .,O O ORG-B O O ORG-B O O O O
가족들과 함께 롯데리아에서 간식을 먹고 맘스터치에서 치킨도 시켰어요 .,O O ORG-B O O ORG-B O O O
저는 메가커피에서 커피를 마시고 뚜레쥬르에서 디저트도 먹을 거에요 .,O ORG-B O O ORG-B O O O O
친구들과 저는 이디야에서 커피를 마시고 씨유에서 생필품도 구입할 거에요 .,O O ORG-B O O ORG-B O O O O
가족들과 저는 홈플러스에서 다양한 식재료를 살 거에요 .,O O ORG-B O O O O O
저는 맘스터치에서 치킨을 시키고 버거킹에서 간식도 먹을 거에요 .,O ORG-B O O ORG-B O O O O
친구들과 저는 이마트에서 장을 보고 미니스톱에서 간식도 사올 거에요 .,O O ORG-B O O ORG-B O O O O
가족들과 함께 롯데백화점에서 쇼핑하고 현대백화점에서도 둘러볼 거에요 .,O O ORG-B O ORG-B O O O
저는 뚜레쥬르에서 달콤한 디저트를 먹고 파리바게뜨에서 빵도 사왔어요 .,O ORG-B O O O ORG-B O O O
친구들과 저는 지방시에서 패션 감상하다가 유니클로에서 옷도 사올 거에요 .,O O ORG-B O O ORG-B O O O O
가족들과 저는 버거킹에서 간식을 먹고 씨유에서 생필품도 살 거에요 .,O O ORG-B O O ORG-B O O O O
저는 메가커피에서 커피를 마시고 뚜레쥬르에서 빵도 사올 거에요 .,O ORG-B O O ORG-B O O O O
친구들과 저는 이디야에서 커피를 마시고 맘스터치에서 치킨도 시킬 거에요 .,O O ORG-B O O ORG-B O O O O
가족들과 함께 롯데리아에서 간식을 먹고 GS25에서 즉석 라면도 살 거에요 .,O O ORG-B O O ORG-B O O O O O
저는 버거킹에서 간식을 먹고 세븐일레븐에서 아이스크림도 사올 거에요 .,O ORG-B O O ORG-B O O O O
친구들과 저는 지방시에서 패션 감상하다가 유니클로에서 옷도 구매할 거에요 .,O O ORG-B O O ORG-B O O O O
가족들과 함께 이마트에서 신선한 식재료를 구입하고 홈플러스에서도 둘러볼 거에요 .,O O ORG-B O O O ORG-B O O O
저는 롯데백화점에서 쇼핑하고 현대백화점에서도 둘러볼 거에요 .,O ORG-B O ORG-B O O O
친구들과 저는 뚜레쥬르에서 달콤한 디저트를 먹고 파리바게뜨에서 빵도 사올 거에요 .,O O ORG-B O O O ORG-B O O O O
가족들과 저는 지방시에서 패션 감상하다가 유니클로에서 옷도 구매할 거에요 .,O O ORG-B O O ORG-B O O O O
저는 버거킹에서 간식을 먹고 씨유에서 생필품도 살 거에요 .,O ORG-B O O ORG-B O O O O
친구들과 저는 메가커피에서 커피를 마시고 뚜레쥬르에서 빵도 사올 거에요 .,O O ORG-B O O ORG-B O O O O
가족들과 함께 이디야에서 커피를 마시고 맘스터치에서 치킨도 시킬 거에요 .,O O ORG-B O O ORG-B O O O O
저는 롯데리아에서 간식을 먹고 GS25에서 즉석 라면도 살 거에요 .,O ORG-B O O ORG-B O O O O O
친구들과 저는 버거킹에서 간식을 먹고 세븐일레븐에서 아이스크림도 사올 거에요 .,O O ORG-B O O ORG-B O O O O
가족들과 저는 지방시에서 패션 감상하다가 유니클로에서 옷도 구매할 거에요 .,O O ORG-B O O ORG-B O O O O
올리브영에서 구매한 화장품이 너무 좋아서 또 가고 싶어요 .,ORG-B O O O O O O O O
투썸플레이스에서 만난 친구와 맛있는 커피를 마시며 이야기를 나눴어요 .,ORG-B O O O O O O O O
롯데백화점에서 구입한 옷이 정말 멋져서 자랑스러워요 .,ORG-B O O O O O O
GS25에서 산 간식들로 가족들과 식사를 즐겼어요 .,ORG-B O O O O O O
이디야커피에서 마신 커피가 너무 맛있어서 다시 갈 계획이에요 .,ORG-B O O O O O O O O
스타벅스에서 친구에게 커피를 선물로 사주었어요 .,ORG-B O O O O O
미니스톱에서 산 아이스크림이 상큼하고 맛있어서 두 개나 사왔어요 .,ORG-B O O O O O O O O
베스킨라빈스에서 딸기 아이스크림을 주문했어요 .,ORG-B O O O O
도미노피자에서 피자를 주문했는데 배달이 빨라서 놀랐어요 .,ORG-B O O O O O O
아이디가 이마트트레이더스에서 만든 맛있는 떡볶이를 먹었어요 .,O ORG-B O O O O O
공차에서 시원한 버블티를 마시며 여름을 즐기고 있어요 .,ORG-B O O O O O O O
나이키 스토어에서 운동화를 신고 휠라에서 운동을 시작했어요 .,ORG-B O O O ORG-B O O O
홍콩반점에서 먹은 짜장면이 정말 맛있었어요 .,ORG-B O O O O O
노랑통닭에서 주문한 치킨이 매우 바삭하고 맛있었어요 .,ORG-B O O O O O O
서브웨이에서 샌드위치를 시켰는데 맛이 좋아서 놀랐어요 .,ORG-B O O O O O O
굽네치킨에서 치킨세트를 시켜서 가족들과 행복한 식사를 했어요 .,ORG-B O O O O O O O
아웃백에서 먹은 스테이크가 부드럽고 맛있어서 기억에 남아요 .,ORG-B O O O O O O O
맘스터치에서 먹은 치킨이 정말 맛있어서 다음에 또 가고 싶어요 .,ORG-B O O O O O O O O O
교보문고에서 책을 사러 갔는데 시간 가는 줄 모르고 둘러봤어요 .,ORG-B O O O O O O O O O
써브웨이에서 먹은 샌드위치가 건강하고 맛있어서 좋았어요 .,ORG-B O O O O O O
할리스커피에서 카페라떼를 주문했는데 맛이 일품이었어요 .,ORG-B O O O O O
메머드에서 마신 커피가 향이 좋고 맛있어서 좋았어요 .,ORG-B O O O O O O O
쥬씨에서 주문한 주스가 상큼하고 건강적이라서 좋아요 .,ORG-B O O O O O O
이마트에서 구입한 신선한 식재료로 맛있는 요리를 만들었어요 .,ORG-B O O O O O O O
투썸플레이스에서 커피를 마시던 중에 빽다방에서 카페라떼를 발견했어요 .,ORG-B O O O ORG-B O O O
공차에서 버블티를 시키고 도미노피자에서 피자도 주문했어요 .,ORG-B O O ORG-B O O O
이디야에서 커피를 마시던 중에 맘스터치에서 치킨 냄새가 나서 배가 고파졌어요 .,ORG-B O O O ORG-B O O O O O O
롯데리아에서 햄버거를 시키고 버거킹에서 감자튀김도 사왔어요 .,ORG-B O O ORG-B O O O
GS25에서 즉석 라면을 사고 미니스톱에서 아이스크림도 구입했어요 .,ORG-B O O O ORG-B O O O
스타벅스에서 커피를 마시고 뚜레쥬르에서 달콤한 디저트를 먹었어요 .,ORG-B O O ORG-B O O O O
던킨도너츠에서 도넛을 사서 공차에서 버블티도 주문했어요 .,ORG-B O O ORG-B O O O
투썸플레이스에서 아메리카노를 마시고 이디야에서 커피라떼도 주문했어요 .,ORG-B O O ORG-B O O O
메가커피에서 커피를 마시던 중에 미니스톱에서 산 간식들을 발견했어요 .,ORG-B O O O ORG-B O O O O
맘스터치에서 치킨을 시키고 롯데리아에서 햄버거도 먹을 거에요 .,ORG-B O O ORG-B O O O O
공차에서 버블티를 마시던 중에 세븐일레븐에서 아이스크림도 살 거에요 .,ORG-B O O O ORG-B O O O O
버거킹에서 햄버거를 먹고 뚜레쥬르에서 디저트도 먹을 거에요 .,ORG-B O O ORG-B O O O O
미니스톱에서 간식을 사고 GS25에서 음료도 사왔어요 .,ORG-B O O ORG-B O O O
이디야에서 커피를 마시던 중에 맘스터치에서 치킨을 발견했어요 .,ORG-B O O O ORG-B O O O
롯데시네마에서 영화를 보고 투썸플레이스에서 커피도 마셨어요 .,ORG-B O O ORG-B O O O
휴대폰 가게에 들렀는데 거기서도 던킨도너츠를 팔기 시작했어요 .,O O O O ORG-B O O O
버거킹에서 햄버거를 시키고 스타벅스에서 커피도 주문했어요 .,ORG-B O O ORG-B O O O
이디야에서 커피를 마시던 중에 뚜레쥬르에서 달콤한 디저트를 발견했어요 .,ORG-B O O O ORG-B O O O O
공차에서 버블티를 마시고 GS25에서 즉석 라면도 사왔어요 .,ORG-B O O ORG-B O O O O
세븐일레븐에서 아이스크림을 사고 롯데리아에서 햄버거도 시켰어요 .,ORG-B O O ORG-B O O O
맘스터치에서 치킨을 주문하고 버거킹에서 감자튀김도 먹었어요 .,ORG-B O O ORG-B O O O
투썸플레이스에서 커피를 마시던 중에 빽다방에서 카페라떼를 주문했어요 .,ORG-B O O O ORG-B O O O
공차에서 버블티를 시키고 도미노피자에서 피자도 주문했어요 .,ORG-B O O ORG-B O O O
이디야에서 커피를 마시던 중에 맘스터치에서 치킨 냄새가 났어요 .,ORG-B O O O ORG-B O O O O
롯데리아에서 햄버거를 시키고 버거킹에서 감자튀김도 사왔어요 .,ORG-B O O ORG-B O O O
GS25에서 즉석 라면을 사고 미니스톱에서 아이스크림도 살 거에요 .,ORG-B O O O ORG-B O O O O
스타벅스에서 커피를 마시고 뚜레쥬르에서 달콤한 디저트를 먹을 거에요 .,ORG-B O O ORG-B O O O O O
투썸플레이스에서 아메리카노를 마시고 이디야에서 커피라떼도 주문할 거에요 .,ORG-B O O ORG-B O O O O
메가커피에서 커피를 마시던 중에 미니스톱에서 산 간식들을 발견했어요 .,ORG-B O O O ORG-B O O O O
맘스터치에서 치킨을 시키고 롯데리아에서 햄버거도 먹을 거예요 .,ORG-B O O ORG-B O O O O
공차에서 버블티를 마시던 중에 세븐일레븐에서 아이스크림도 살 거예요 .,ORG-B O O O ORG-B O O O O
버거킹에서 햄버거를 먹고 뚜레쥬르에서 디저트도 먹을 거예요 .,ORG-B O O ORG-B O O O O
미니스톱에서 간식을 사고 GS25에서 음료도 사왔어요 .,ORG-B O O ORG-B O O O
이디야에서 커피를 마시던 중에 맘스터치에서 치킨을 발견했어요 .,ORG-B O O O ORG-B O O O
롯데시네마에서 영화를 보고 투썸플레이스에서 커피도 마셨어요 .,ORG-B O O ORG-B O O O
휴대폰 가게에 들렀는데 거기서도 던킨도너츠를 팔기 시작했어요 .,O O O O ORG-B O O O
버거킹에서 햄버거를 시키고 스타벅스에서 커피도 주문했어요 .,ORG-B O O ORG-B O O O
현대백화점에서 구매한 옷이 멋져서 친구들에게 자랑했어요 .,ORG-B O O O O O O
에이치앤엠에서 옷을 구매했는데 나이키에서 운동화도 함께 사야할지 고민 중이에요 .,ORG-B O O ORG-B O O O O O O
이마트에서 구입한 신선한 식재료로 맛있는 요리를 만들었어요 .,ORG-B O O O O O O O
교보문고에서 책을 사러 갔는데 시간 가는 줄 모르고 둘러봤어요 .,ORG-B O O O O O O O O O
써브웨이에서 먹은 샌드위치가 건강하고 맛있어서 좋았어요 .,ORG-B O O O O O O
할리스커피에서 카페라떼를 주문했는데 맛이 일품이었어요 .,ORG-B O O O O O
김밥천국에서 주문한 김밥이 신선하고 맛있어서 좋았어요 .,ORG-B O O O O O O
뚜레쥬르에서 디저트를 먹은 후 메가커피에서 커피도 마셨어요 .,ORG-B O O O ORG-B O O O
롯데시네마에서 먹은 햄버거가 맛있어서 배가 부르네요 .,ORG-B O O O O O O
지방시에서 구입한 의류들이 디자인이 독특해서 매일 입어요 .,ORG-B O O O O O O O
아디다스 스토어에서 구입한 운동화가 편해서 운동하기 좋아요 .,ORG-B O O O O O O O
버거킹에서 간식을 먹고 씨유에서 생필품도 살 거에요 .,ORG-B O O ORG-B O O O O
친구들과 저는 메가커피에서 커피를 마시고 뚜레쥬르에서 빵도 사올 거에요 .,O O ORG-B O O ORG-B O O O O
가족들과 함께 이디야에서 커피를 마시고 맘스터치에서 치킨도 시킬 거에요 .,O O ORG-B O O ORG-B O O O O
저는 롯데리아에서 간식을 먹고 GS25에서 즉석 라면도 살 거에요 .,O ORG-B O O ORG-B O O O O O
친구들과 저는 버거킹에서 간식을 먹고 세븐일레븐에서 아이스크림도 사올 거에요 .,O O ORG-B O O ORG-B O O O O
가족들과 함께 지방시에서 패션 감상하다가 유니클로에서 옷도 구매할 거에요 .,O O ORG-B O O ORG-B O O O O
저는 뚜레쥬르에서 달콤한 디저트를 먹고 파리바게뜨에서 빵도 사왔어요 .,O ORG-B O O O ORG-B O O O
공차에서 주문한 버블티가 달콤하고 상큼해서 맛있었어요 .,ORG-B O O O O O O
신세계백화점에서 브랜드 화장품을 구입해서 기분이 좋아요 .,ORG-B O O O O O O
도미노피자에서 치즈피자를 주문했어요 .,ORG-B O O O
맘스터치에서 핫크리스피버거를 먹었어요 .,ORG-B O O O
명동칼국수에서 칼국수와 만두를 주문했어요 .,ORG-B O O O O
푸라닭에서 간장치킨을 시켰어요 .,ORG-B O O O
리안헤어에서 머리를 자르고 왔어요 .,ORG-B O O O O
써브웨이에서 샌드위치를 맛있게 먹었어요 .,ORG-B O O O O
역전할머니맥주에서 시원한 맥주 한 잔 마셨어요 .,ORG-B O O O O O O
옛날통닭에서 양념치킨과 후라이드치킨을 시켰어요 .,ORG-B O O O O
낙원떡집에서 떡볶이와 오뎅을 주문했어요 .,ORG-B O O O O
자연별곡에서 건강한 채식식사를 했어요 .,ORG-B O O O O
뚜레쥬르에서 빵과 커피를 구입했어요 .,ORG-B O O O O
시골밥상에서 한식 뷔페를 즐겼어요 .,ORG-B O O O O
